,,slope,intercept
1,0,0.9150683901213404,0.9160177135178271
1,1,0.9349735928642231,1.2939508482105522
1,2,0.9342321831983256,1.4520670133373486
1,3,0.9275870048458295,1.513295481603266
1,4,0.9211277838362577,1.58232576345383
1,5,0.888813371543542,1.3855846019824822
1,6,0.9019517434981206,1.6164196284752554
1,7,0.9081198952013544,1.5419747780031043
1,8,0.8993545717145169,1.5429985852598804
1,9,0.8928727988636197,1.5515286137218878
1,10,0.8891110726636947,1.569227241314299
1,11,0.8805467122827638,1.5136503280319777
1,12,0.8756863618800544,1.3087821135004898
1,13,0.8781200265535173,0.896292765133297
1,14,0.9050701493751598,1.0175767637693927
1,15,0.8559687787529027,0.5841067587598987
1,16,0.8347216690331476,0.42041966792093266
1,17,0.7843616856087161,0.5685870507536359
1,18,0.7653287961829021,0.29792460759987405
1,19,0.8215968449589903,0.47801747530133776
1,20,0.8450300874283048,0.4830621071568073
1,21,0.8723116201449675,0.6911075737493322
1,22,0.8797413454566059,0.7826349641517112
1,23,0.899285783403768,0.7611313165151925
2,0,0.9144895379983853,0.9050014752028694
2,1,0.9334811920752013,1.2813020939630055
2,2,0.9334095183179077,1.4452208591243974
2,3,0.9270829624003849,1.511785818427608
2,4,0.9212285454416166,1.587319425222267
2,5,0.9133799225079927,1.6317355142512033
2,6,0.9014770285760182,1.6087616179630642
2,7,0.9070090508792179,1.523412036361563
2,8,0.898702515442397,1.5281749074675721
2,9,0.8922010672425685,1.5354452076622893
2,10,0.8882960934589976,1.5511002405774432
2,11,0.8796819142956404,1.4947954503601846
2,12,0.87470359717817,1.2884911857368566
2,13,0.8771691787682261,0.8782321756892832
2,14,0.9051537850118929,1.0202945514577682
2,15,0.8606628198438382,0.609467396819384
2,16,0.8379224184093622,0.4343444199953188
2,17,0.7834871417449194,0.5580147716023935
2,18,0.7639286364178653,0.31281011274240145
2,19,0.8224829935016584,0.4036640898137791
2,20,0.8488938988972632,0.46002845703127004
2,21,0.8561027607145754,0.5759736606337187
2,22,0.8555801640287849,0.5402255258808983
2,23,0.8980898822459586,0.7467957323066186
3,0,0.915483057187259,0.9207795183117815
3,1,0.9223370402933473,1.1019067108443874
3,2,0.9329073626187532,1.4381404423326458
3,3,0.9268227669486439,1.509557605671767
3,4,0.9207712272058362,1.583058814459867
3,5,0.913092954361306,1.6304985979267954
3,6,0.9012960734330937,1.6085262468298698
3,7,0.9069363888714563,1.5219531805977198
3,8,0.8983669041582406,1.5263402200786436
3,9,0.8916167565827209,1.5321470761918095
3,10,0.8875529165868302,1.5441849797140232
3,11,0.8793027353405346,1.4897521553304793
3,12,0.8739405702930031,1.2712831241432836
3,13,0.8768013955143119,0.8696588417315958
3,14,0.9058281253262681,1.0216567820627684
3,15,0.8633875079233834,0.6248865964674195
3,16,0.8409590594698677,0.4440620790416041
3,17,0.7847681414243759,0.5715523978618808
3,18,0.7658661862974172,0.2927248481010287
3,19,0.825218733966687,0.39695239407157334
3,20,0.8506944564013147,0.441697618774584
3,21,0.8585589872778638,0.5572946956330194
3,22,0.8786209539041118,0.7876344071027015
3,23,0.8980393787142545,0.7645912145527038
4,0,0.9167865809900119,0.9332951480061444
4,1,0.9237351396391782,1.1134286622765144
4,2,0.9200168996586244,1.2383043946693997
4,3,0.9051649528028485,1.2268579141550982
4,4,0.9215108524097558,1.5907647823427444
4,5,0.9139111283835839,1.6384001070891037
4,6,0.9018741842365636,1.6124462940445001
4,7,0.907830472709589,1.529372963634981
4,8,0.898807975519142,1.527130381882908
4,9,0.8918565617433329,1.5296250730458985
4,10,0.8875598197638727,1.5381379561515685
4,11,0.8787697061674669,1.4757224774012112
4,12,0.8730213278430766,1.251531416684796
4,13,0.8761967332800283,0.857496896644995
4,14,0.9065260193013384,1.0289768747507608
4,15,0.8656415759164391,0.6553037661251633
4,16,0.8436549091978428,0.47636548835798376
4,17,0.7865195928808097,0.5995569609235227
4,18,0.7653841322076862,0.27324693184168414
4,19,0.8232023105587819,0.36987875394631153
4,20,0.8477186863571949,0.39729690968150155
4,21,0.8724566919065989,0.7055878668736151
4,22,0.8797011906163339,0.798202473130071
4,23,0.8984140103636659,0.7700779335191816
5,0,0.9175740990551975,0.9419188745008613
5,1,0.9240880840784949,1.118069749155425
5,2,0.9205518075036525,1.2438468065562356
5,3,0.9129120383895815,1.283124111066022
5,4,0.9220617660464192,1.5980098569138326
5,5,0.9143895114153369,1.645604703804369
5,6,0.9023796196429645,1.61994239996252
5,7,0.9078290915263434,1.5265559905662442
5,8,0.8986348416129287,1.5191742290732284
5,9,0.8917475966584797,1.5225433986705301
5,10,0.8873019062160938,1.5291320434064977
5,11,0.8785335841923725,1.4621567598934542
5,12,0.8719191072901593,1.2235208040586327
5,13,0.8756641454255268,0.8441176767322434
5,14,0.9067030180135042,1.0325117807157298
5,15,0.8623220534198782,0.6671323620444021
5,16,0.842345448817073,0.5111318320542102
5,17,0.786722487724342,0.582923944096593
5,18,0.7630561896821306,0.28410841114228624
5,19,0.8199789715913413,0.3913100348251701
5,20,0.8451317339826945,0.4026936197592281
5,21,0.8528765225366876,0.5100190075954822
5,22,0.854514914684051,0.49516697839340473
5,23,0.9009059693348503,0.7969206184479622
6,0,0.9174002266173478,0.9436323805633933
6,1,0.9246526486806294,1.1219516066731465
6,2,0.923366050300477,1.2778320161138517
6,3,0.9148131821231054,1.3124131641934564
6,4,0.907491533451924,1.3774436267438528
6,5,0.9136250632949569,1.635139056649372
6,6,0.9018122431390029,1.6116161964826956
6,7,0.9076001963415433,1.5235236113396793
6,8,0.8982171768301871,1.5116293306305355
6,9,0.8912708250516403,1.5145284601235636
6,10,0.88681787662473,1.5212975809873104
6,11,0.8781443470593103,1.4540477951783481
6,12,0.8707626951631444,1.199897818594347
6,13,0.8741995023747323,0.8200546431659319
6,14,0.9065334242803367,1.0291069389496421
