,,slope,intercept
1,0,0.0,0.0140625
1,1,0.0,0.008378125
1,2,0.0,0.0063078399122807015
1,3,0.0,0.006383497807017543
1,4,0.0,0.0047881030701754385
1,5,0.0,0.008076612903225807
1,6,0.0,0.006802419354838708
1,7,0.0,0.0051291118421052636
1,8,0.0,0.00451343201754386
1,9,0.0,0.0076031250000000005
1,10,0.0,0.01531112938596491
1,11,0.0,0.01749375
1,12,0.0,0.004810937499999999
1,13,0.09423144269541789,-0.18473241278614305
1,14,0.2435876051155713,1.05770412194639
1,15,0.523001903349516,-12.684911275333718
1,16,0.764742785386532,-38.97622369487806
1,17,0.9005909807307574,-57.6471918506069
1,18,0.9173630213294465,-41.63911833215269
1,19,0.8609038497345965,-19.329913466731796
1,20,0.6145126436805026,13.323559942913263
1,21,0.5061044491220976,15.641942272888983
1,22,1.2233194369013949,7.11046984593643
1,23,0.0,0.30466093750000006
2,0,0.0,0.013486764705882354
2,1,0.0,0.007985294117647057
2,2,0.0,0.006285520607375273
2,3,0.0,0.0063571041214750545
2,4,0.0,0.004806399132321041
2,5,0.0,0.008017968750000002
2,6,0.0,0.00674765625
2,7,0.0,0.0050797180043383955
2,8,0.0,0.004479934924078091
2,9,0.0,0.007155882352941177
2,10,0.0,0.015151301518438179
2,11,0.0,0.01646470588235294
2,12,0.0,0.004527941176470589
2,13,0.0968108826384012,-0.2103686995070677
2,14,0.24725203587935224,0.8123301045065183
2,15,0.5376864104079796,-14.722033278577513
2,16,0.7922302842419556,-44.509615142583385
2,17,0.9343379717756389,-66.42547993155554
2,18,0.9416972092193225,-47.38223748952092
2,19,0.8797171614565106,-23.14736453671776
2,20,0.6040252306148606,15.59514146199298
2,21,0.49543730928721386,16.912626051841087
2,22,1.2100644292720164,7.228374857964752
2,23,0.0,0.3158264705882353
3,0,0.0,0.012911111111111111
3,1,0.0,0.007808333333333333
3,2,0.0,0.006248122317596566
3,3,0.0,0.0063371781115879825
3,4,0.0,0.004833690987124464
3,5,0.0,0.007774999999999999
3,6,0.0,0.006543181818181819
3,7,0.0,0.0050917381974248934
3,8,0.0,0.004516630901287554
3,9,0.0,0.007355555555555554
3,10,0.0,0.022097222222222223
3,11,0.0,0.015863888888888886
3,12,0.0,0.004602777777777778
3,13,0.09721615304403977,-0.23395239293909142
3,14,0.25428381718905435,-0.11806514976494853
3,15,0.5504606452086327,-17.409067232226846
3,16,0.8105321584013457,-50.31096212155501
3,17,0.9490204944472396,-72.00891827263004
3,18,0.9475696588811258,-50.99405942008309
3,19,0.8621851533639455,-20.379878769593972
3,20,0.5927432097662254,15.66523928470366
3,21,0.4871927629872376,16.429370452171106
3,22,1.1652537117741706,7.132522457242942
3,23,0.0,0.32686388888888884
4,0,0.0,0.012557894736842106
4,1,0.0,0.007889473684210526
4,2,0.0,0.006213031914893618
4,3,0.0,0.006331117021276596
4,4,0.0,0.0048436170212765965
4,5,0.0,0.007629411764705882
4,6,0.0,0.0064088235294117646
4,7,0.0,0.005090159574468086
4,8,0.0,0.004508244680851064
4,9,0.0,0.007235526315789474
4,10,0.0,0.021007894736842107
4,11,0.0,0.015057894736842107
4,12,0.0,0.004464473684210527
4,13,0.09532370103864989,-0.22705233943541603
4,14,0.2545841612661885,-0.2923917500693456
4,15,0.5481972883022207,-18.74837811499674
4,16,0.798206383189102,-48.43735718238861
4,17,0.9451723534983106,-68.64927016413523
4,18,0.9109040373147806,-42.4105728753635
4,19,0.8585204481288337,-19.89488206381398
4,20,0.5847906286808032,15.78507276611748
4,21,0.4878415281740034,16.419402668092907
4,22,1.139031666474945,7.111430373621982
4,23,0.0,0.3409315789473685
5,0,0.0,0.011930000000000001
5,1,0.0,0.007495000000000001
5,2,0.0,0.006196466244725738
5,3,0.0,0.0063283227848101265
5,4,0.0,0.004826213080168777
5,5,0.0,0.007411428571428572
5,6,0.0,0.006225714285714287
5,7,0.0,0.005094672995780591
5,8,0.0,0.004523997890295359
5,9,0.0,0.00609071729957806
5,10,0.0,0.014905590717299575
5,11,0.0,0.024894938650306755
5,12,0.024930836397106266,0.018194741071274546
5,13,0.08122467715839496,-0.009676321851412206
5,14,0.25353258674495155,-0.03447437692570432
5,15,0.5465797171490072,-18.42346001180792
5,16,0.7982583272467628,-47.63664146848302
5,17,0.9188197194126417,-63.3121390213924
5,18,0.886359847630153,-37.66876148020344
5,19,0.8695177432091938,-22.0974833612687
5,20,0.578216245766111,16.33684193367884
5,21,0.46810380861645107,18.087463794677625
5,22,0.8525113313633081,8.41573981644736
5,23,0.0,0.36340249999999996
6,0,162.23120078740095,0.09012844488188976
6,1,0.0,0.01941867154811715
6,2,0.0,0.006185930962343097
6,3,0.0,0.006319560669456067
6,4,0.0,0.004844926778242678
6,5,0.0,0.007591666666666667
6,6,0.0,0.006422916666666667
6,7,0.0,0.005084728033472804
6,8,0.0,0.004521705020920503
6,9,0.0,0.006077928870292887
6,10,0.0,0.014834205020920498
6,11,0.0,0.024527190332326285
6,12,0.03307085373023706,0.01747270219420679
6,13,0.08078546356615943,0.016834198547845958
6,14,0.24836245794288583,0.6210231258152383
6,15,0.5437977593186795,-16.976722296808177
6,16,0.7924111881779139,-43.556744428715916
6,17,0.9186869032740803,-59.78626571331179
6,18,0.8846797203314086,-35.25767802435976
6,19,0.8694836604118092,-20.796232892933972
6,20,0.5697524900048399,18.390640058580132
6,21,0.47440639171171173,18.46565812671956
6,22,0.9053063291263036,8.30237757110979
6,23,0.0,0.40159880952380955
7,0,162.31882239382372,0.09017712355212355
7,1,0.0,0.019494294605809127
7,2,0.0,0.006213692946058092
7,3,0.0,0.006293568464730291
7,4,0.0,0.004810425311203319
7,5,0.0,0.007539189189189189
7,6,0.0,0.006586486486486486
7,7,0.0,0.005080653526970955
7,8,0.0,0.004531120331950208
7,9,0.0,0.006062759336099585
7,10,0.0,0.014746109958506221
7,11,0.0,0.02417447916666667
7,12,0.03900481258114364,0.016613353507958194
7,13,0.08247963032579156,0.013966552109483388
7,14,0.2444882111986442,1.2050728650414335
7,15,0.5521422073226064,-17.317877708032583
7,16,0.8088688253765944,-45.84765411572613
7,17,0.9398678101037985,-64.00138992651796
7,18,0.9132480449494257,-41.88772719022663
7,19,0.8948459184573119,-26.371954036093314
7,20,0.5723996992710663,17.250534421083728
7,21,0.4881555470077582,17.061459981220594
7,22,0.9353631928717515,8.002523132991312
7,23,0.0,0.4245170454545454
8,0,162.02386363636384,0.09001325757575757
8,1,0.0,0.020018775720164608
8,2,0.0,0.0062232510288065855
8,3,0.0,0.006279578189300411
8,4,0.0,0.004829218106995885
8,5,0.0,0.00734078947368421
8,6,0.0,0.006428289473684211
8,7,0.0,0.00506224279835391
8,8,0.0,0.004522890946502058
8,9,0.0,0.006041923868312757
8,10,0.0,0.014662551440329215
8,11,0.0,0.02382844574780059
8,12,0.03839604686489704,0.01681863546450718
8,13,0.08406908416523685,-0.006463517840755051
8,14,0.2364387041594141,1.9516972565313608
8,15,0.5499139903167676,-16.534487300224995
8,16,0.8036139940988551,-43.82295926465267
8,17,0.920377741679573,-58.94142863255786
8,18,0.8868152057223682,-33.53873718704904
8,19,0.8793408882052078,-22.4600873619994
8,20,0.5742901533911794,17.07057913847602
8,21,0.49169546468541525,17.73646922069038
8,22,0.8916870687363286,8.682260984490561
8,23,0.0,0.47459021739130436
9,0,165.6761152416358,0.09204228624535318
9,1,0.0,0.02068214285714286
9,2,0.0,0.006207142857142857
9,3,0.0,0.006273979591836735
9,4,0.0,0.004861734693877552
9,5,0.0,0.007312820512820513
9,6,0.0,0.006378205128205128
9,7,0.0,0.005084183673469388
9,8,0.0,0.004514795918367347
9,9,0.0,0.006038775510204083
9,10,0.0,0.014620408163265305
9,11,0.0,0.023582008670520235
9,12,0.039719502697673416,0.016508305906407554
9,13,0.08151685971132941,0.019438566257974133
9,14,0.23261301120052033,2.3100806363334883
9,15,0.5466176196935854,-15.107013379335527
9,16,0.795080227506176,-41.837053262815004
9,17,0.9062522586128591,-54.37175607019839
9,18,0.8745567581313051,-30.585128599609817
9,19,0.8646017583081821,-19.949223066303944
9,20,0.5633808477511641,18.320501506136026
9,21,0.5102473559557067,16.65704069919375
9,22,0.971971369470756,8.245492762255015
9,23,-32.27142857142857,0.5076964285714285
10,0,168.56359489050934,0.09364644160583943
10,1,0.0,0.021594635627530365
10,2,0.0,0.006199392712550608
10,3,0.0,0.006254554655870445
10,4,0.0,0.004856528340080971
10,5,0.0,0.009326000000000001
10,6,0.0,0.007802000000000001
10,7,0.0,0.005105769230769231
10,8,0.0,0.004515435222672066
10,9,0.0,0.006044281376518219
10,10,0.0,0.0145334008097166
10,11,0.0,0.023286680911680915
10,12,0.041703223232908114,0.01595220021870026
10,13,0.07795112285542649,0.05354460855611176
10,14,0.22538657747688706,2.680159331272108
10,15,0.5452355518703872,-15.332851637415061
10,16,0.8039753284238353,-42.874086913778086
10,17,0.9271875637067003,-59.54612924329493
10,18,0.8979184590856758,-35.48927590214245
10,19,0.8807043699523782,-23.601664011494677
10,20,0.565421785347192,18.550683838042985
10,21,0.5167859704997819,16.52648718460693
10,22,0.8948556214921212,8.71102404449186
10,23,1161.6750000000002,0.560525
11,0,171.37177419355152,0.09520654121863799
11,1,0.0,0.022404367469879515
11,2,0.0,0.00618925702811245
11,3,0.0,0.006226907630522088
11,4,0.0,0.0048230421686747
11,5,0.0,0.009151923076923077
11,6,0.0,0.007698076923076923
11,7,0.0,0.005064759036144579
11,8,0.0,0.004479166666666666
11,9,0.0,0.005995732931726908
11,10,0.0,0.01443097389558233
11,11,0.0,0.023038272471910114
11,12,0.039898224659136367,0.016050418493751765
11,13,0.087135079651682,-0.0358302596415756
11,14,0.23436106015268113,2.251683465638454
11,15,0.5570017707194607,-17.510292338070386
11,16,0.8158955552944329,-46.10873988419141
11,17,0.9375486294800877,-63.32064929092269
11,18,0.9072739102107127,-36.28224772771992
11,19,0.8916732711380456,-25.858128334885578
11,20,0.5586120826438203,18.760276217083927
11,21,0.499614855430135,17.4940851890004
11,22,0.841177473689621,9.0392249041747
11,23,2065.7822622107956,0.5966545629820053
12,0,173.9883802816878,0.09666021126760563
12,1,0.0,0.023270916334661357
12,2,0.0,0.0061735557768924304
12,3,0.0,0.006210906374501992
12,4,0.0,0.0048271912350597605
12,5,0.0,0.008833333333333332
12,6,0.0,0.0074231481481481475
12,7,0.0,0.00510034860557769
12,8,0.0,0.004561503984063745
12,9,0.0,0.006004482071713148
12,10,0.0,0.014366782868525897
12,11,0.0,0.02271918282548477
12,12,0.04025353719683047,0.015537871292194375
12,13,0.09080481155653516,-0.08273330153402658
12,14,0.23411602391631492,2.1594893122040695
12,15,0.5406947548793468,-15.53901095293746
12,16,0.8112936497353763,-45.559011231558344
12,17,0.9291767636816972,-62.160404227357105
12,18,0.8896723728052253,-34.042982540379825
12,19,0.8854572206625783,-26.66824188910681
12,20,0.5608205096596891,17.828632602958322
12,21,0.5157189722461748,16.43467411957095
12,22,0.8498209244924683,8.882383171647284
12,23,2048.777042079207,0.6249965965346534
13,0,187.6453287197196,0.10424740484429064
13,1,0.0,0.024878952569169964
13,2,0.0,0.006166501976284585
13,3,0.0,0.006228754940711462
13,4,0.0,0.004822381422924901
13,5,0.0,0.00866875
13,6,0.0,0.007350892857142858
13,7,0.0,0.005090909090909091
13,8,0.0,0.004553606719367589
13,9,0.0,0.005987401185770751
13,10,0.0,0.014300395256916995
13,11,0.0,0.022501707650273227
13,12,0.04347886690144909,0.014095959205173023
13,13,0.0899257468306801,-0.06900662836534743
13,14,0.2340032044444076,2.2194211304952063
13,15,0.5490121553780469,-16.643500705314082
13,16,0.8280527300896551,-48.57370753442845
13,17,0.9260134151007824,-61.26381073746899
13,18,0.9064992757895307,-38.22727863854206
13,19,0.8926764960470428,-28.49072164704728
13,20,0.5830478274525345,15.27703790864281
13,21,0.5295794527863695,15.703198923001494
13,22,0.8563938492744857,8.862686180838377
13,23,1996.4475536992882,0.7122124105011933
14,0,199.905254237294,0.11105847457627117
14,1,0.0,0.02141543126684636
14,2,0.0,0.006162254901960784
14,3,0.0,0.006212990196078431
14,4,0.0,0.004792892156862745
14,5,0.0,0.008418965517241379
14,6,0.0,0.007116379310344828
14,7,0.0,0.005092401960784314
14,8,0.0,0.004551225490196078
14,9,0.0,0.0059789215686274514
14,10,0.0,0.01423235294117647
14,11,0.0,0.022324123989218334
14,12,-0.03280983829315422,0.020076549864797014
14,13,0.08968740721840134,-0.06717199264895957
14,14,0.22416921712704285,2.8195754038311414
14,15,0.5440314744263297,-16.74541452218044
14,16,0.8275693630398975,-48.74694069120008
14,17,0.9241045899903649,-60.32411752963887
14,18,0.9123881835327546,-40.81397792610201
14,19,0.8969590158753125,-31.01081585923879
14,20,0.5772645989952674,15.577822127856635
14,21,0.5274830612796944,15.785306132019713
14,22,0.8209641468953633,9.088046864315384
14,23,1966.477707373267,0.7621621543778802
15,0,211.94550000000189,0.11774750000000002
15,1,0.0,0.02114960106382979
15,2,0.0,0.0061169747081712056
15,3,0.0,0.006249270428015565
15,4,0.0,0.0048353599221789886
15,5,0.0,0.008204166666666665
15,6,0.0,0.0069925
15,7,0.0,0.005096789883268483
15,8,0.0,0.004576118677042802
15,9,0.0,0.005976410505836576
15,10,0.0,0.014171206225680933
15,11,0.0,0.0220498670212766
15,12,-0.010544142740491638,0.019895996622361876
15,13,0.09189207187189519,-0.08268857510547223
15,14,0.2306273265867343,2.638266277662254
15,15,0.5498395370623431,-17.55052026429543
15,16,0.8212455689589733,-47.856205621459964
15,17,0.913059211123754,-59.70698996666749
15,18,0.9047894037801691,-40.004986833631165
15,19,0.9090550764084567,-33.76763255776265
15,20,0.5782863552235655,14.919319260737723
15,21,0.5193443106390374,16.537967806069368
15,22,0.7917359830767732,9.310840940852575
15,23,1490.6327809798256,0.8225732468780019
16,0,224.57803278688988,0.12476557377049181
16,1,0.0,0.02090583989501312
16,2,0.0,0.006115830115830116
16,3,0.0,0.0062499999999999995
16,4,0.0,0.004836148648648649
16,5,0.0,0.008076612903225807
16,6,0.0,0.006802419354838708
16,7,0.0,0.005133445945945946
16,8,0.0,0.0046117277992278
16,9,0.0,0.005998310810810811
16,10,0.0,0.0141136583011583
16,11,0.0,0.021875328083989506
16,12,0.0011124094948115903,0.01967265720020526
16,13,0.09314422047535409,-0.0949991510391337
16,14,0.23329908357949114,2.489966732051453
16,15,0.5651674979341964,-19.84784693672198
16,16,0.8423628824158635,-52.66187450902808
16,17,0.9346919142938693,-64.87846856326905
16,18,0.9121019119686522,-42.5048105252049
16,19,0.9226011999565679,-37.071549272346914
16,20,0.5877828160051256,13.76889265938891
16,21,0.5118066232329603,17.202421222595895
16,22,0.7938115224414194,9.30240429181338
16,23,147.13272955523684,0.9390863522238164
17,0,238.88540322580522,0.1327141129032258
17,1,0.0,0.020664183937823835
17,2,0.0,0.00606896551724138
17,3,0.0,0.006221264367816092
17,4,0.0,0.004823754789272031
17,5,0.0,0.008231451612903225
17,6,0.0,0.006891935483870967
17,7,0.0,0.005132183908045977
17,8,0.0,0.004619731800766283
17,9,0.0,0.005984913793103449
17,10,0.0,0.014048850574712644
17,11,-0.21665062723253564,0.021844381375569537
17,12,0.002409042095974404,0.01949075543873673
17,13,0.10353655382253742,-0.22253953794236314
17,14,0.2432587564578086,1.803030454904846
17,15,0.5875201620808826,-24.033614828944962
17,16,0.8685420744599022,-59.7905069091905
17,17,0.948398635769889,-67.7382620686476
17,18,0.9234635918154672,-46.239820408211045
17,19,0.9345668875357068,-41.6205178147236
17,20,0.580680226466156,14.703355772957153
17,21,0.4985956237647382,18.579784245443207
17,22,0.7042761614132436,10.177429221390646
17,23,-481.2075000000002,1.0390983870967743
18,0,162.80303347280534,0.09044612970711297
18,1,0.0,0.020406969309462918
18,2,0.0,0.006025427756653993
18,3,0.0,0.006195342205323194
18,4,0.0,0.004811311787072244
18,5,0.0,0.008075806451612903
18,6,0.0,0.00672741935483871
18,7,0.0,0.005120009505703423
18,8,0.0,0.004635456273764258
18,9,0.0,0.0059686311787072255
18,10,0.0,0.014019961977186312
18,11,-0.03363476376314649,0.021725065782225716
18,12,0.013595124418822073,0.019046623702484416
18,13,0.11203147154459701,-0.3291862923794735
18,14,0.24323312101497394,1.7646269047500631
18,15,0.5828868551207077,-23.088219757200108
18,16,0.8645103565655515,-59.147071834409644
18,17,0.9404828679842655,-67.9217016481056
18,18,0.9073774714213477,-42.96655236464386
18,19,0.9094498244798914,-36.23782801427677
18,20,0.5753428386108278,17.082264411564182
18,21,0.4834377278015356,20.51861724088335
18,22,0.6909284375740392,10.549478952925222
18,23,-481.20750000000027,1.1789379032258063
19,0,161.71875000000222,0.08984375000000001
19,1,0.0,0.02021338383838384
19,2,0.0,0.006025471698113208
19,3,0.0,0.006183254716981132
19,4,0.0,0.004812264150943396
19,5,0.0,0.008149193548387095
19,6,0.0,0.0067185483870967734
19,7,0.0,0.005124056603773585
19,8,0.0,0.004645754716981132
19,9,0.0,0.005968867924528302
19,10,0.0,0.013972877358490565
19,11,0.0007498339903281631,0.021655875499872305
19,12,0.014240200958171207,0.01894542476195475
19,13,0.10755102900757899,-0.26624345197094534
19,14,0.23923748773931117,2.2131257619559044
19,15,0.5785756030265975,-21.99798345044502
19,16,0.8659392629474628,-58.792862472717246
19,17,0.9605728418264463,-73.79514104730933
19,18,0.9249726657595168,-47.01308168691858
19,19,0.9130725659798768,-34.58898163352063
19,20,0.5916373454538154,15.876848223427842
19,21,0.4881016248680364,20.59263625902146
19,22,0.6649440685880776,10.905857443936956
19,23,-481.20750000000027,1.2677185483870967
20,0,162.6596385542156,0.09036646586345382
20,1,0.0,0.02003491271820449
20,2,0.0,0.005998829588014982
20,3,0.0,0.006171582397003745
20,4,0.0,0.0048054775280898885
20,5,0.0,0.008149193548387097
20,6,0.0,0.0067185483870967734
20,7,0.0,0.005117275280898876
