,,slope,intercept
1,0,0.5535771398015417,-0.013620476681433291
1,1,0.5348678749330701,0.01429449514703196
1,2,0.57871039787466,-0.017392275222641307
1,3,0.5894576328734784,-0.027511025462342964
1,4,0.5126467703176004,0.04314363781940456
1,5,0.591186918951817,-0.03386908154490942
1,6,0.5147757645858791,0.04471037167376857
1,7,0.5122455679692156,0.0260623761941996
1,8,0.5111569106938645,0.028232937102236788
1,9,0.4934021728923861,0.0303110628042752
1,10,0.5127380170041853,0.02889592831015042
1,11,0.5016448891586831,0.01735411715409979
1,12,0.49598306146654625,0.03798324968207906
1,13,0.4256670772319858,0.10690114089668701
1,14,0.46577878634533737,0.051887362833229644
1,15,0.48856816773214934,0.002129949140287579
1,16,0.43677525130218897,0.039928725201626325
1,17,0.4760418731492021,0.06663779075227205
1,18,0.4507652035464073,0.06258161241088012
1,19,0.4990171502426181,0.0021540602885412596
1,20,0.5388192490858245,-0.020189198346049486
1,21,0.6382875601327261,-0.14793259390308822
1,22,0.5760915985785527,-0.07421665109642417
1,23,0.5372927977056945,-0.02967485892145072
2,0,0.549225133576222,-0.014282327656779614
2,1,0.5452207406396344,0.0014163896091617945
2,2,0.5913187998737308,-0.033276848641389356
2,3,0.5891447894305696,-0.03400930149864567
2,4,0.5149477242192195,0.041839476842387646
2,5,0.5877158473046747,-0.03543750705814619
2,6,0.5142885295689972,0.04579556565543297
2,7,0.5197573484588529,0.017448603141949737
2,8,0.515536336389899,0.02268344816977641
2,9,0.5178732281443762,0.010078601842821167
2,10,0.513114258254919,0.030404931104824007
2,11,0.5318400888544708,0.012956969324978806
2,12,0.4979871472330168,0.03454532946839939
2,13,0.43059963939961543,0.10286873997237739
2,14,0.46758594454475005,0.05055215787347689
2,15,0.4931976453723099,0.003153805398851517
2,16,0.4392227993383521,0.0453554790248652
2,17,0.4786685835716825,0.06452192241158294
2,18,0.4554937851575464,0.06238500038729944
2,19,0.4866561206743924,0.023162710088577065
2,20,0.49636281704319185,0.03627939524261181
2,21,0.6133932601268304,-0.11671608280671042
2,22,0.578255443614529,-0.0756287162136059
2,23,0.5362222151244382,-0.02737144020331428
3,0,0.5497582701998751,-0.01838371351892709
3,1,0.5487576164127839,-0.0056687680281274355
3,2,0.5945842281202529,-0.03973652092087099
3,3,0.5845682597165388,-0.03511944245319221
3,4,0.5136579830137249,0.043415294784607594
3,5,0.585618026971267,-0.03788427034731956
3,6,0.5114779661370824,0.04947457930175725
3,7,0.5169266297171742,0.019468274787710627
3,8,0.558869798931441,-0.029188335312385627
3,9,0.5016002969393757,0.04515948491274807
3,10,0.5135005098906923,0.03050196548099393
3,11,0.516660053241088,0.027872455487257086
3,12,0.4698385956489771,0.06040967690128218
3,13,0.4314710619239671,0.10164335246329037
3,14,0.4672626824295096,0.05096125357620329
3,15,0.48621571132848235,0.007592170602682136
3,16,0.44452902401913247,0.03505716584242191
3,17,0.48004246118617194,0.06397789827221134
3,18,0.46266887916956206,0.0449995328838666
3,19,0.4701214612411387,0.0575508743831874
3,20,0.4973933306193078,0.036461840488958286
3,21,0.5880784206466447,-0.08144367483679149
3,22,0.5722694147414974,-0.06718545174365342
3,23,0.5496185458217414,-0.05137504698750722
4,0,0.5419852550291341,-0.018372094928186034
4,1,0.5524317269951662,-0.012663373569248848
4,2,0.6005263127572642,-0.04819800135894414
4,3,0.601796781619528,-0.05005262118476406
4,4,0.5113882529752066,0.04564666237206816
4,5,0.5925306578919558,-0.04246571724370607
4,6,0.5087984011428996,0.05222695195182103
4,7,0.5222788998936381,0.017235044108815156
4,8,0.5625017548511757,-0.028763010198532113
4,9,0.5247359865797405,0.004676482758868783
4,10,0.5103498624850376,0.03496238153878517
